off_long,off_lat,pop_up
115.573,39.633,1
115.73,39.563,1
115.735,39.562,1
115.759,39.542,1
115.814,39.55,1
115.846,39.56,1
115.888,40.497,1
115.898,39.589,1
115.923,39.736,1
115.932,39.816,1
115.939,39.736,12
115.945,39.733,27
115.95,39.731,4
115.952,39.82,1
115.957,39.726,1
115.958,39.813,3
115.965,39.724,1
115.971,40.462,1
115.972,39.816,1
115.975,39.724,1
115.981,39.794,1
115.983,39.694,1
115.985,39.724,3
115.991,39.792,5
116.002,39.723,3
116.02,39.896,3
116.024,39.785,11
116.024,39.899,3
116.025,39.72,2
116.026,39.772,6
116.028,39.78,2
116.034,39.759,1
116.037,39.754,1
116.039,39.979,2
116.04,39.749,15
116.044,39.743,9
116.044,39.975,1
116.045,39.742,3
116.045,39.743,3
116.049,39.736,2
116.051,39.708,8
116.053,39.733,2
116.057,39.929,1
116.057,39.978,2
116.061,39.725,5
116.062,39.931,2
116.065,39.988,1
116.072,39.72,4
116.075,39.939,1
116.077,39.94,3
116.078,39.719,9
116.078,39.927,1
116.08,39.941,4
116.082,39.929,4
116.085,39.932,5
116.087,39.943,1
116.089,39.933,2
116.09,39.942,2
116.09,39.997,1
116.091,39.885,3
116.091,39.909,9
116.092,39.678,1
116.092,39.904,2
116.092,39.948,2
116.092,39.951,4
116.093,39.886,2
116.093,39.944,8
116.094,39.933,6
116.095,39.678,1
116.095,39.901,1
116.095,40.001,1
116.096,39.908,5
116.096,39.937,7
116.096,39.963,1
116.097,39.933,2
116.098,39.898,1
116.098,39.906,5
116.099,39.958,4
116.099,39.959,3
116.099,39.961,1
116.099,40.004,1
116.1,39.888,5
116.1,39.908,1
116.1,39.93,7
116.1,39.932,2
116.1,39.933,4
116.1,40.106,1
116.101,39.905,4
116.102,39.886,1
116.102,39.927,2
116.102,39.934,7
116.103,39.854,4
116.103,39.892,14
116.104,39.898,19
116.104,39.905,1
116.104,39.96,9
116.105,39.904,10
116.105,39.909,3
116.105,39.924,1
116.106,39.932,1
116.106,39.933,2
116.107,39.852,2
116.107,39.889,5
116.107,39.914,1
116.107,39.918,4
116.107,39.921,2
116.108,39.921,2
116.108,39.925,2
116.108,39.935,8
116.11,39.93,1
116.11,39.958,3
116.11,40.004,2
116.111,39.845,6
116.111,40.105,2
116.112,39.926,4
116.112,39.927,5
116.113,40.095,6
116.114,39.728,3
116.114,39.887,3
116.114,39.891,17
116.114,39.895,7
116.114,39.898,3
116.115,40.059,3
116.115,40.083,1
116.115,40.089,2
