off_long,off_lat,pop_up
115.519,40.412,1
115.582,39.637,1
115.685,39.596,1
115.814,39.55,1
115.82,39.551,1
115.921,39.639,1
115.923,39.736,2
115.939,39.736,7
115.945,39.733,8
115.95,39.731,1
115.952,39.82,2
115.955,40.519,1
115.957,39.726,1
115.958,39.813,2
115.971,40.462,2
115.972,39.816,2
115.972,40.457,1
115.975,39.724,1
115.975,39.804,1
115.976,40.502,1
115.978,40.461,1
115.981,39.794,1
115.982,40.465,2
115.983,39.705,1
115.985,39.724,1
115.989,40.468,1
115.991,39.792,4
115.995,40.46,1
116.002,39.723,5
116.018,39.788,1
116.018,40.477,1
116.024,39.785,2
116.024,39.878,1
116.024,39.899,14
116.025,39.72,1
116.026,39.772,94
116.028,39.78,4
116.03,39.765,2
116.034,39.759,13
116.039,39.979,2
116.04,39.749,6
116.044,39.743,8
116.044,39.975,4
116.049,39.736,4
116.049,39.975,1
116.051,39.708,6
116.053,39.733,3
116.055,39.709,10
116.057,39.709,24
116.057,39.978,5
116.058,39.634,3
116.061,39.725,4
116.061,39.984,3
116.063,39.655,2
116.065,39.933,2
116.065,39.988,1
116.068,40.488,1
116.072,39.72,1
116.077,39.94,3
116.078,39.719,3
116.08,39.941,1
116.08,39.989,1
116.081,39.982,1
116.082,39.929,1
116.086,39.968,1
116.087,39.718,2
116.087,39.943,2
116.088,39.719,4
116.088,39.883,1
116.088,39.963,7
116.09,39.942,1
116.09,39.997,1
116.091,39.885,5
116.091,39.909,2
116.092,39.678,2
116.092,39.904,1
116.092,39.948,7
116.092,39.949,7
116.092,39.951,12
116.093,39.886,3
116.093,39.944,34
116.095,39.678,1
116.095,39.908,3
116.095,40.001,1
116.096,39.889,1
116.096,39.937,45
116.096,39.963,2
116.098,39.906,5
116.099,39.959,7
116.099,39.961,2
116.099,40.017,1
116.1,39.908,2
116.1,39.93,2
116.1,39.932,2
116.1,39.933,12
116.101,39.905,1
116.102,39.689,3
116.102,39.934,19
116.103,39.854,1
116.103,39.892,4
116.103,39.927,6
116.104,39.898,9
116.104,39.905,3
116.104,39.96,2
116.105,39.903,1
116.105,39.904,3
116.105,39.908,1
116.105,39.91,2
116.106,39.933,13
116.107,39.889,6
116.107,39.918,11
116.107,39.921,2
116.108,39.921,7
116.108,39.925,16
116.108,39.927,2
116.108,39.935,12
116.109,39.959,1
116.11,39.93,2
116.111,39.845,2
116.111,40.099,2
116.111,40.105,1
116.112,39.926,14
116.112,40.073,2
116.112,40.208,1
116.113,40.515,2
116.114,39.722,5
116.114,39.728,3
116.114,39.891,3
116.114,39.895,3
116.114,39.898,3
116.115,40.053,7
116.115,40.059,1
116.115,40.083,1
116.115,40.089,1
116.116,39.886,11
116.117,39.723,1
116.117,40.233,1
116.118,39.73,1
116.118,40.177,1
116.119,39.832,1
116.12,39.722,8
116.121,39.852,2
116.121,39.896,1
116.122,39.728,6
116.122,39.937,3
116.122,39.952,1
116.123,39.81,1
