off_long,off_lat,pop_up
115.685,39.596,1
115.71,39.578,1
115.892,40.501,1
115.901,39.606,1
115.923,39.736,2
115.924,39.732,1
115.939,39.736,2
115.945,39.733,3
115.95,39.731,1
115.957,39.726,2
115.971,40.462,2
115.975,39.724,2
115.977,39.796,1
115.981,39.794,2
115.983,39.694,3
115.983,39.705,1
115.988,40.466,1
115.991,39.792,8
116.003,39.789,9
116.018,39.788,1
116.02,39.891,1
116.024,39.785,7
116.024,39.899,3
116.026,39.772,1
116.027,39.775,1
116.028,39.78,2
116.034,39.759,2
116.036,39.756,1
116.037,39.754,3
116.04,39.749,5
116.044,39.743,2
116.044,39.975,3
116.045,39.742,3
116.048,39.713,4
116.049,39.736,3
116.053,39.733,1
116.055,39.709,3
116.057,39.929,1
116.057,39.978,2
116.061,39.725,3
116.065,39.933,1
116.072,39.72,2
116.075,39.939,1
116.077,39.94,3
116.078,39.719,2
116.082,39.929,2
116.087,39.718,1
116.088,39.719,1
116.09,39.997,2
116.091,39.885,2
116.091,39.909,1
116.092,39.678,1
116.092,39.904,1
116.092,39.949,2
116.092,39.951,4
116.093,39.886,1
116.093,39.944,4
116.094,39.933,2
116.095,39.901,1
116.096,39.937,4
116.097,39.933,3
116.098,39.906,2
116.099,39.958,6
116.099,39.959,6
116.1,39.885,1
116.1,39.93,3
116.1,39.933,7
116.101,39.934,1
116.102,39.927,1
116.102,39.934,7
116.103,39.854,3
116.103,39.892,8
116.103,40.004,1
116.104,39.897,7
116.104,39.905,1
116.104,39.96,5
116.105,39.904,2
116.105,39.908,3
116.106,39.933,1
116.107,39.852,1
116.107,39.889,7
116.107,39.918,2
116.108,39.921,2
116.108,39.925,4
116.108,39.935,2
116.109,39.959,1
116.11,39.958,1
116.111,40.105,5
116.112,39.926,5
116.114,39.722,1
116.114,39.85,3
116.114,39.887,2
116.114,39.891,13
116.114,39.895,7
116.114,39.898,8
116.114,40.187,1
116.115,40.089,1
116.116,39.886,8
116.116,39.957,3
116.117,40.233,1
116.118,39.835,1
116.121,39.852,3
116.123,39.815,2
116.123,40.233,5
116.127,39.931,4
116.128,39.856,9
116.128,39.945,3
116.128,40.234,1
116.129,39.729,1
116.129,39.734,1
116.13,40.051,2
116.131,40.241,1
116.132,39.807,2
116.132,40.145,1
116.133,40.135,1
116.134,39.741,3
116.134,40.138,4
116.134,40.196,7
116.135,39.729,1
116.135,39.888,24
116.135,39.94,1
116.137,40.051,3
116.141,39.733,1
116.141,39.858,13
116.142,39.745,2
116.142,39.746,1
116.143,39.885,3
116.144,39.739,3
