off_long,off_lat,pop_up
115.601,39.634,2
115.663,39.617,7
115.735,39.562,2
115.784,39.54,3
115.921,39.639,1
115.939,39.736,2
115.945,39.733,2
115.95,39.731,1
115.952,39.82,2
115.957,39.726,1
115.966,39.678,2
115.971,40.361,1
115.971,40.462,1
115.972,39.816,1
115.972,40.457,1
115.975,39.724,1
115.981,39.794,2
115.982,40.465,4
115.983,39.694,1
115.985,39.724,1
115.989,40.468,1
115.991,39.792,1
115.992,40.463,2
116.002,39.723,1
116.003,39.789,2
116.018,39.788,1
116.018,40.477,7
116.02,39.896,3
116.024,39.785,1
116.024,39.899,2
116.025,39.72,2
116.026,39.772,11
116.027,39.775,2
116.028,39.78,3
116.034,39.759,1
116.037,39.754,1
116.039,39.979,2
116.04,39.749,5
116.044,39.743,8
116.044,39.975,2
116.045,39.742,1
116.045,39.743,3
116.046,40.481,1
116.049,39.975,1
116.051,39.708,1
116.053,39.733,1
116.055,39.709,2
116.057,39.709,6
116.057,39.929,3
116.057,39.978,2
116.058,40.483,2
116.061,39.725,2
116.063,39.664,1
116.064,39.679,1
116.065,39.988,1
116.068,40.488,3
116.079,39.719,1
116.08,39.989,2
116.081,39.982,2
116.082,39.929,2
116.085,39.932,3
116.087,39.718,3
116.088,39.883,1
116.088,39.963,3
116.09,39.985,1
116.091,39.885,2
116.091,39.909,2
116.092,39.951,7
116.093,39.886,3
116.093,39.944,6
116.094,39.933,2
116.096,39.908,1
116.096,39.937,14
116.098,39.898,1
116.099,39.959,6
116.099,39.961,4
116.1,39.93,4
116.1,39.932,2
116.1,39.933,3
116.1,40.106,1
116.101,39.886,1
116.102,39.934,9
116.103,39.892,3
116.103,39.927,1
116.104,39.897,1
116.104,39.905,1
116.104,39.96,2
116.104,40.509,1
116.105,39.903,1
116.105,39.904,3
116.105,39.908,3
116.106,39.933,1
116.107,39.852,1
116.107,39.889,4
116.107,39.918,2
116.107,40.512,2
116.108,39.921,8
116.108,39.925,13
116.108,39.927,2
116.108,39.935,6
116.11,39.93,1
116.11,39.958,3
116.111,39.845,2
116.111,40.099,3
116.111,40.105,8
116.112,39.926,2
116.112,40.073,2
116.113,40.095,1
116.114,39.722,1
116.114,39.85,1
116.114,39.895,3
116.114,39.898,2
116.115,40.053,1
116.116,39.886,17
116.116,39.957,1
116.117,39.722,1
116.117,39.723,1
116.117,40.233,1
116.118,39.725,3
116.118,39.73,1
116.119,39.832,1
116.12,39.722,3
116.121,39.722,3
116.121,39.953,3
116.122,39.937,1
116.122,39.952,1
116.123,39.81,1
116.123,39.815,2
116.123,40.233,1
116.125,39.949,1
116.126,39.895,2
116.126,40.161,1
116.128,39.856,5
116.129,39.734,1
116.129,40.051,3
116.131,40.009,1
116.131,40.24,1
116.132,39.807,1
116.132,40.196,5
116.133,40.135,1
116.134,39.741,1
116.134,40.138,1
116.134,40.196,6
116.135,39.729,2
116.135,39.888,22
116.135,39.94,2
116.136,39.895,8
116.136,40.051,1
116.137,40.196,11
116.139,39.924,2
116.14,40.131,3
116.142,39.746,2
116.143,39.885,3
116.144,39.739,5
116.145,39.936,1
116.145,40.197,15
116.146,39.748,8
116.148,39.747,29
116.148,39.808,9
116.149,39.799,2
116.149,39.807,1
116.149,39.86,1
116.15,39.78,2
116.15,39.791,1
116.151,39.93,1
116.152,39.809,7
116.153,39.756,49
116.153,39.808,1
116.154,39.926,6
116.155,39.759,21
116.155,39.92,1
116.155,40.066,8
116.156,39.863,5
116.157,39.809,1
116.157,40.058,7
116.157,40.06,4
116.159,39.811,1
116.159,39.876,1
116.159,40.051,7
116.16,39.913,9
116.16,40.197,2
116.161,39.766,13
116.161,39.872,2
116.161,40.049,11
116.161,40.187,1
116.162,40.515,4
116.164,39.86,1
116.165,39.769,16
116.165,39.923,1
116.166,39.817,1
116.167,39.817,1
116.167,39.842,1
116.167,39.905,13
116.167,40.045,12
116.168,39.833,2
116.168,39.89,1
116.169,39.829,1
116.169,39.905,7
116.17,39.824,1
116.17,39.905,14
116.171,39.906,8
116.172,40.198,10
116.174,39.857,4
116.174,40.043,17
116.179,39.764,1
116.179,40.059,7
116.18,39.914,2
116.18,39.921,1
116.18,39.926,11
116.18,40.504,3
116.181,39.854,1
116.181,40.04,24
116.183,40.185,1
116.184,39.906,14
116.185,39.927,1
116.185,40.225,2
116.187,39.868,2
116.187,40.039,1
116.187,40.186,2
116.188,39.933,1
116.189,39.834,3
116.19,39.851,1
116.19,39.906,17
116.193,39.93,2
116.193,40.488,5
116.194,39.836,5
116.194,39.903,1
116.194,39.931,5
116.194,40.039,27
116.195,39.837,3
116.195,40.199,4
116.197,39.841,1
116.197,39.932,1
116.198,39.906,7
116.199,40.122,1
116.2,40.199,2
116.201,39.889,5
116.201,39.906,1
116.202,39.902,1
116.205,39.842,4
116.207,39.906,8
116.207,40.198,1
116.208,39.906,6
116.208,40.066,3
116.211,40.038,1
116.212,39.899,2
116.213,39.906,3
116.215,39.903,5
116.215,40.039,2
116.216,39.895,2
116.216,39.896,65
116.216,40.115,11
116.217,40.04,1
116.218,39.902,1
116.219,39.765,3
116.219,39.906,7
116.219,40.119,4
116.221,40.075,1
116.222,39.845,3
116.223,39.898,3
116.223,39.902,1
116.224,39.767,9
116.224,39.847,3
116.224,39.891,11
116.224,39.895,33
116.225,39.894,6
116.226,39.872,4
116.226,40.068,19
116.226,40.119,11
116.227,39.848,1
116.227,39.906,3
116.227,39.912,33
116.228,39.849,2
116.228,39.902,5
116.228,40.219,2
116.229,39.888,14
116.229,40.211,2
116.23,39.874,1
116.23,40.076,1
116.231,39.853,1
116.231,39.863,2
116.231,39.906,18
116.231,40.07,1
116.232,39.852,1
116.234,39.902,2
116.235,39.888,5
116.235,39.928,17
116.235,40.119,4
116.236,39.896,12
116.236,39.904,18
116.236,39.906,3
116.236,40.219,2
116.237,40.044,1
116.239,39.902,5
116.239,40.119,4
116.241,39.863,1
116.241,39.868,3
116.241,40.065,5
116.242,39.888,9
116.243,39.928,6
116.243,40.059,1
116.244,39.847,7
116.244,39.87,1
116.245,39.902,34
116.245,39.906,15
116.246,39.874,15
116.246,39.881,16
116.246,39.887,25
116.246,39.891,69
116.246,39.897,77
116.246,39.9,7
116.246,39.904,63
116.246,39.908,5
116.246,39.91,33
116.246,39.914,16
116.246,39.919,1
116.246,39.926,3
116.246,40.22,1
116.247,39.874,4
116.248,39.87,10
116.248,39.871,2
116.248,39.888,18
116.248,39.895,1
116.248,39.899,29
116.248,39.928,1
116.248,40.042,2
116.249,39.846,15
116.249,39.858,5
116.249,39.916,35
116.249,40.004,5
116.249,40.075,7
116.25,40.049,3
116.251,39.84,13
116.251,39.871,1
116.251,40.119,2
116.252,39.849,15
116.252,39.871,7
116.252,39.916,11
116.253,39.919,6
116.253,40.04,3
116.253,40.042,2
116.254,39.896,3
116.254,39.899,8
116.254,40.051,1
116.254,40.077,12
116.255,39.861,2
116.255,39.888,3
116.255,39.902,7
116.255,39.916,9
116.255,40.05,2
116.256,39.833,11
116.256,39.87,5
116.256,39.871,1
116.256,39.927,1
116.257,39.689,2
116.257,40.049,2
116.258,39.884,2
116.258,39.896,4
116.258,39.9,6
116.258,39.921,3
116.258,39.926,1
116.259,39.863,11
